codigoGrupoMaterialServico,grupoMaterialServico,codigoClasseMaterialServico,classeMaterialServico,codigoMaterialServico,materialServico,valorTotal
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010018,"ESTUDOS, PROJETOS E LEVANTAMENTO TOPOGRAFICO",131916198.5
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010042,"SERVICOS DE PERICIA, AVALIACAO E VISTORIA",14949477.86
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010069,ESTUDOS E PROJETOS DE ARQUITETURA,41000
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010085,ESTUDOS E PROJETOS DE AMBIENTES INTERIORES PRESTADOS POR PESSOA JURIDICA,38293.6
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010093,ESTUDOS E PROJETOS DE PAISAGISMO,85000
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010204,ESTUDOS E PROJETOS DE INSTALACOES SANITARIAS - RESIDUOS SOLIDOS,30149
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010212,ESTUDOS E PROJETOS DE INSTALACOES ELETRICAS,1674964.89
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010239,ESTUDOS E PROJETOS DE PREVENCAO E COMBATE A INCENDIO E  AUTO DE VISTORIA PREDIAL -,724527.69
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010247,ESTUDO TECNICO PARA AVALIACAO E DIAGNOSTICO DE FUNCIONAMENTODE EQUIPAMENTOS E SISTEMAS -,50922.94
1,SERVICOS DE ESTUDOS E PROJETOS,101,"SERVICOS TECNICOS, ESTUDOS E PROJETOS",1010379,SERVICOS DE AEROFOTOGRAMETRIA -,188199.98
